study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste,1,0,0.00000000,1,0.00000000,37,none,,0.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,0,0.00000000,1,0.00000000,37,none,,0.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,0,0.00000000,1,0.00000000,37,none,,0.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,0,0.00000000,1,0.00000000,37,torrefaction_product,240,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,0,0.00000000,1,0.00000000,37,torrefaction_product,240,5.0,0.00000000,0.00000000,0.00000000,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,0,0.00000000,1,0.00000000,37,torrefaction_product,240,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,0,0.00000000,1,0.00000000,37,biochar,600,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,0,0.00000000,1,0.00000000,37,biochar,600,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,0,0.00000000,1,0.00000000,37,biochar,600,5.0,0.00000000,0.00000000,0.00000000,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,0,0.00000000,1,0.00000000,37,hydrochar,240,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,0,0.00000000,1,0.00000000,37,hydrochar,240,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,0,0.00000000,1,0.00000000,37,hydrochar,240,5.0,0.00000000,0.00000000,0.00000000,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,1,0.04166667,1,0.01041667,37,none,,0.0,30.20000000,14.23333333,3.60780327,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,1,0.04166667,1,0.01041667,37,none,,0.0,28.10000000,14.23333333,3.13329052,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,1,0.04166667,1,0.01041667,37,none,,0.0,23.10000000,14.23333333,2.00349826,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,1,0.04166667,1,0.01041667,37,torrefaction_product,240,5.0,34.90000000,14.23333333,4.66980799,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,1,0.04166667,1,0.01041667,37,torrefaction_product,240,5.0,0.10000000,14.23333333,-3.19354611,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,1,0.04166667,1,0.01041667,37,torrefaction_product,240,5.0,36.50000000,14.23333333,5.03134151,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,1,0.04166667,1,0.01041667,37,biochar,600,5.0,35.80000000,14.23333333,4.87317059,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,1,0.04166667,1,0.01041667,37,biochar,600,5.0,30.70000000,14.23333333,3.72078249,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,1,0.04166667,1,0.01041667,37,biochar,600,5.0,25.80000000,14.23333333,2.61358608,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
