source_id,doi,study,temperature_c,isr_vs,working_volume_ml,duration_days,batch,treatment,biochar_dose_g_l,first_order_bmax_nml_gvs,first_order_k_d_inv,first_order_r2,gompertz_p_nml_gvs,gompertz_rm_nml_gvs_d,gompertz_lambda_d,gompertz_r2
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,1,B0,0,329.40,0.04,0.954,194.94,14.21,2.52,0.993
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,1,B3,3,150.85,0.10,0.982,122.10,13.45,0.98,0.998
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,1,B6,6,220.70,0.10,0.986,177.86,17.95,0.73,0.996
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,1,B9,9,248.66,0.09,0.976,197.96,21.20,1.04,0.994
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,1,B12,12,199.47,0.11,0.978,165.88,18.77,0.94,0.995
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,2,B0,0,243.22,0.04,0.927,125.37,17.52,3.33,0.999
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,2,B3,3,206.03,0.05,0.924,116.88,17.12,3.14,0.997
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,2,B6,6,269.04,0.04,0.940,140.24,17.46,2.96,0.998
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,2,B9,9,175.40,0.07,0.929,113.63,17.00,2.86,0.997
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,2,B12,12,129.53,0.09,0.947,95.87,13.93,2.21,0.998
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,3,B0,0,196.12,0.14,0.990,177.13,19.07,0.04,0.986
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,3,B3,3,206.52,0.13,0.981,184.08,18.23,0.00,0.977
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,3,B6,6,196.36,0.14,0.988,179.10,19.54,0.00,0.983
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,3,B9,9,203.84,0.15,0.985,187.00,21.20,0.05,0.982
qiu_2026_imperial,10.1039/D6EW00095A,Qiu et al. 2026,35,4:1,400,18,3,B12,12,200.29,0.14,0.988,181.52,20.59,0.18,0.987
