treatment,model,parameters,n_reactors,n_observations,train_rmse_ml_g_vs,mean_holdout_rmse_ml_g_vs,mean_holdout_mae_ml_g_vs,aic,aicc,bic,rank_by_holdout_rmse
food_waste,modified_gompertz,3,3,1515,9.840119994615245,12.82785494832251,10.618193316995132,6933.997753860522,6934.013637381368,6949.967266014352,1.0
food_waste,logistic,3,3,1515,11.449735659390177,14.271195758296232,11.546022445382336,7393.038928949356,7393.054812470203,7409.008441103187,2.0
food_waste,first_order,2,3,1515,13.221303894642325,15.635535522379522,13.78432707390411,7826.943263851316,7826.951200359253,7837.589605287203,3.0
food_waste_hydrochar_240c,modified_gompertz,3,3,1515,6.81563667970247,6.941760250842911,5.676122610581484,5821.235036738287,5821.250920259134,5837.204548892118,1.0
food_waste_hydrochar_240c,logistic,3,3,1515,9.965761664299947,10.063554102477793,8.081689352376971,6972.440815618724,6972.45669913957,6988.410327772554,2.0
food_waste_hydrochar_240c,first_order,2,3,1515,10.758536806069602,10.835632136327732,8.146512987104265,7202.369669590257,7202.377606098194,7213.016011026144,3.0
food_waste_pyrolysis_600c,modified_gompertz,3,2,1010,5.709999961581648,5.815819058970716,4.9946891919618706,3525.2824142181153,3525.3062710769623,3540.035531047621,1.0
food_waste_pyrolysis_600c,logistic,3,2,1010,7.278476445328193,7.359174435191939,5.616589723311513,4015.5415528537765,4015.5654097126235,4030.2946696832823,2.0
food_waste_pyrolysis_600c,first_order,2,2,1010,12.300029058713385,12.34349808558505,9.115200095651513,5073.395282242661,5073.407198826573,5083.230693462331,3.0
food_waste_torrefaction_240c,modified_gompertz,3,2,1010,7.615798006216557,7.940957705034628,6.426254874659284,4107.054045185582,4107.077902044429,4121.807162015089,1.0
food_waste_torrefaction_240c,first_order,2,2,1010,10.067385070262729,10.320384447637203,7.931536524416111,4668.788015479276,4668.799932063188,4678.623426698946,2.0
food_waste_torrefaction_240c,logistic,3,2,1010,10.8864919910048,11.131178912571507,9.168695412004043,4828.7959627337705,4828.819819592617,4843.549079563277,3.0
