model,held_out_batch,n_train,n_test,parameters,rmse_ml_g_vs,mae_ml_g_vs
constant_gompertz,T37_D0,217,31,3,98.49322384833427,90.37614666816718
log_linear_dose_temperature,T37_D0,217,31,6,22.015949650035818,20.043355297002826
global_dose_temperature,T37_D0,217,31,8,3.7628300156521295,3.072582353575183
constant_gompertz,T37_D2,217,31,3,57.57127462453444,48.61941066801222
log_linear_dose_temperature,T37_D2,217,31,6,12.543688671021878,11.450748545683647
global_dose_temperature,T37_D2,217,31,8,3.853613109166346,3.1384470046995543
constant_gompertz,T37_D5,217,31,3,45.842317231961445,34.93322629226517
log_linear_dose_temperature,T37_D5,217,31,6,9.189145834587242,7.9775116081647415
global_dose_temperature,T37_D5,217,31,8,4.507371309303754,3.631262214820305
constant_gompertz,T37_D10,217,31,3,48.87167941385575,39.087204954963276
log_linear_dose_temperature,T37_D10,217,31,6,16.408002435423835,14.996866243671587
global_dose_temperature,T37_D10,217,31,8,4.324026249098689,3.5752493795548963
constant_gompertz,T55_D0,217,31,3,56.1685237345901,47.916627882632866
log_linear_dose_temperature,T55_D0,217,31,6,24.699964986217807,22.065434347672046
global_dose_temperature,T55_D0,217,31,8,3.9715405001328397,3.497473899903463
constant_gompertz,T55_D2,217,31,3,77.13843847120468,54.951783910141074
log_linear_dose_temperature,T55_D2,217,31,6,14.179992105612357,13.120038347590816
global_dose_temperature,T55_D2,217,31,8,2.636188835400299,1.9025712742986038
constant_gompertz,T55_D5,217,31,3,93.75616212652831,75.19027192722663
log_linear_dose_temperature,T55_D5,217,31,6,11.846517349962634,10.918592572572367
global_dose_temperature,T55_D5,217,31,8,3.165655415358546,2.6736063979164104
constant_gompertz,T55_D10,217,31,3,103.11909840013257,85.657033041199
log_linear_dose_temperature,T55_D10,217,31,6,19.36658051021712,17.615501545872828
global_dose_temperature,T55_D10,217,31,8,3.307380982518141,2.7713163699406054
